,trustfam,nofriend,placesize,socprof,trustneigh,workab,id_hash,ls,region,wkabint,ymarr,smoke,age,emcc,ysepdiv,agegr,trust,mmarr,marital,unempdur,alcsol,sport,msepdiv,sex,wkabintdur,nociga,englang,eduspec,edu
1988,YES,2,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beae40>,MOSTLY SATISFIED,Warminsko-mazurskie,NO,1970.0,YES,63,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
1989,YES,3,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beae68>,PLEASED,Slaskie,NO,1996.0,YES,35,,,35-44,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,10,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
1990,YES,10,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beae90>,PLEASED,Lubelskie,NO,2002.0,NO,35,,,35-44,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,NO,,2,,-8,NONE,technical science,SECONDARY
1991,YES,15,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beaeb8>,MIXED,Malopolskie,NO,1964.0,NO,79,,,65+,MOST PEOPLE CAN BE TRUSTED,8.0,MARRIED,-8,NO,YES,,1,,-8,NONE,pedagogics,POST-SECONDARY OR HIGHER
1992,NO,4,RURAL AREAS,RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8beaee0>,MOSTLY SATISFIED,Swietokrzyskie,NO,1937.0,NO,90,,1972.0,65+,MOST PEOPLE CAN BE TRUSTED,,WIDOWED,24,NO,YES,8.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
1993,NO OPINION,3,RURAL AREAS,SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8beaf08>,PLEASED,Malopolskie,NO,2006.0,NO,36,,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,-8,NO,NO,,2,,-8,NONE,technical science,SECONDARY
1994,YES,10,"URBAN BELOW 20,000",SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8beaf30>,PLEASED,Lubelskie,NO,1983.0,NO,53,,,45-59,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,NO,,1,,-8,NONE,technical science,SECONDARY
1995,YES,5,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beaf58>,PLEASED,Swietokrzyskie,NO,1985.0,YES,53,,,45-59,IT`S DIFFICULT TO TELL,7.0,MARRIED,-8,NO,YES,,1,,10,PASSIVE,social sciences,POST-SECONDARY OR HIGHER
1996,YES,12,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beaf80>,MOSTLY SATISFIED,Pomorskie,NO,1991.0,NO,47,,,45-59,IT`S DIFFICULT TO TELL,8.0,MARRIED,0,NO,NO,,2,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
1997,NO,3,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8beafa8>,PLEASED,Malopolskie,NO,1968.0,NO,68,,2009.0,65+,ONE CAN`T BE TOO CAREFUL,5.0,WIDOWED,-8,,YES,8.0,1,,-8,NONE,social sciences,SECONDARY
1998,YES,10,RURAL AREAS,UNEMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8beafd0>,MOSTLY SATISFIED,Swietokrzyskie,NO,2002.0,NO,28,,2007.0,25-34,ONE CAN`T BE TOO CAREFUL,4.0,DIVORCED,24,NO,YES,11.0,1,,-8,PASSIVE,economy and administration,POST-SECONDARY OR HIGHER
1999,YES,6,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8beb030>,PLEASED,Lubelskie,NO,1996.0,NO,37,,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,-8,NO,YES,,1,,-8,PASSIVE,economy and administration,POST-SECONDARY OR HIGHER
2000,NO OPINION,1,RURAL AREAS,RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb058>,MIXED,Lodzkie,NO,1946.0,NO,97,,,65+,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,24,NO,YES,,2,,-8,NONE,not applicable,PRIMARY/NO EDUCATION
2001,YES,20,"URBAN BELOW 20,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb080>,MIXED,Podkarpackie,NO,1965.0,NO,70,,,65+,IT`S DIFFICULT TO TELL,6.0,MARRIED,24,NO,YES,,2,,-8,NONE,"agriculture, forestry, fishing",SECONDARY
2002,YES,2,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb0a8>,MIXED,Slaskie,NO,1993.0,YES,49,,,45-59,MOST PEOPLE CAN BE TRUSTED,6.0,MARRIED,0,YES,YES,,2,,20,NONE,no specialisation,VOCATIONAL/GRAMMAR
2003,YES,10,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8beb0d0>,MIXED,Dolnoslaskie,NO,1981.0,NO,55,,,45-59,ONE CAN`T BE TOO CAREFUL,2.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,SECONDARY
2004,YES,12,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb0f8>,MOSTLY SATISFIED,Podlaskie,NO,1970.0,NO,62,,,60-64,IT`S DIFFICULT TO TELL,5.0,MARRIED,-8,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2005,YES,6,"URBAN 20,000-100,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb120>,PLEASED,Kujawsko-pomorskie,NO,1979.0,NO,56,,,45-59,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,NO,,1,,-8,ACTIVE,social sciences,POST-SECONDARY OR HIGHER
2006,YES,6,"URBAN 500,000 AND OVER",UNEMPLOYED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb148>,MIXED,Mazowieckie,,1982.0,NO,52,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,4,NO,NO,,1,,-8,ACTIVE,technical science,SECONDARY
2007,YES,5,RURAL AREAS,FARMER,NO,YES,<sha256 HASH object @ 0x7f6ca8beb170>,MOSTLY SATISFIED,Mazowieckie,NO,2009.0,NO,26,,,25-34,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,0,NO,YES,,2,,-8,PASSIVE,technical science,SECONDARY
2008,YES,4,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb198>,MIXED,Slaskie,NO,1969.0,NO,72,,,65+,IT`S DIFFICULT TO TELL,1.0,MARRIED,24,NO,YES,,2,,-8,NONE,technical science,SECONDARY
2009,YES,20,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb1c0>,MOSTLY SATISFIED,Mazowieckie,NO,1974.0,NO,58,,,45-59,,2.0,MARRIED,0,NO,YES,,2,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
2010,YES,10,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb1e8>,MIXED,Podlaskie,NO,1954.0,NO,82,,1995.0,65+,ONE CAN`T BE TOO CAREFUL,6.0,WIDOWED,-8,NO,YES,8.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2011,YES,8,"URBAN BELOW 20,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb210>,MOSTLY SATISFIED,Warminsko-mazurskie,NO,1968.0,NO,66,,,65+,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,-8,NO,NO,,2,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2012,YES,4,"URBAN 20,000-100,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb238>,MOSTLY SATISFIED,Mazowieckie,NO,1956.0,NO,82,,,65+,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,2,,-8,NONE,technical science,
2013,YES,0,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb260>,PLEASED,Wielkopolskie,NO,1968.0,NO,67,,,65+,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2014,YES,20,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8beb288>,PLEASED,Kujawsko-pomorskie,NO,1999.0,YES,37,,,35-44,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,NO,,1,,15,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
2015,NO OPINION,20,RURAL AREAS,RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb2b0>,MIXED,Malopolskie,NO,1966.0,NO,65,,,65+,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,0,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2016,NO OPINION,6,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb2d8>,PLEASED,Pomorskie,NO,1979.0,NO,53,,2006.0,45-59,ONE CAN`T BE TOO CAREFUL,7.0,WIDOWED,0,NO,NO,3.0,1,,-8,NONE,economy and administration,POST-SECONDARY OR HIGHER
2017,YES,6,"URBAN 20,000-100,000",EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8beb300>,PLEASED,Slaskie,NO,1981.0,NO,49,,,45-59,MOST PEOPLE CAN BE TRUSTED,2.0,MARRIED,0,NO,YES,,1,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
2018,YES,2,"URBAN BELOW 20,000",EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8beb328>,MOSTLY DISSATISFIED,Warminsko-mazurskie,NO,1983.0,NO,51,,2010.0,45-59,ONE CAN`T BE TOO CAREFUL,6.0,DIVORCED,0,NO,YES,4.0,1,,-8,NONE,production and processing,SECONDARY
2019,YES,20,"URBAN 200,000-500,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb350>,MOSTLY SATISFIED,Podkarpackie,NO,1969.0,NO,64,,2003.0,60-64,ONE CAN`T BE TOO CAREFUL,10.0,WIDOWED,0,NO,YES,10.0,1,,-8,NONE,no specialisation,SECONDARY
2020,YES,3,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,YES,NO,<sha256 HASH object @ 0x7f6ca8beb378>,MOSTLY SATISFIED,Malopolskie,NO,1996.0,NO,41,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,-8,NO,YES,,1,,-8,NONE,social sciences,POST-SECONDARY OR HIGHER
2021,YES,1,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb3a0>,MIXED,Lubelskie,NO,1970.0,NO,59,,2000.0,45-59,ONE CAN`T BE TOO CAREFUL,6.0,WIDOWED,-8,NO,YES,6.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2022,YES,8,"URBAN BELOW 20,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb3c8>,MOSTLY SATISFIED,Dolnoslaskie,,1971.0,NO,60,,,60-64,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,NO,,1,,-8,NONE,social sciences,SECONDARY
2023,YES,10,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb3f0>,DELIGHTED,Wielkopolskie,NO,1984.0,NO,50,,,45-59,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,0,NO,YES,,2,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
2024,YES,5,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb418>,PLEASED,Malopolskie,NO,1991.0,YES,44,,,35-44,IT`S DIFFICULT TO TELL,9.0,MARRIED,12,NO,YES,,2,,20,NONE,architecture and construction,SECONDARY
2025,YES,1,"URBAN BELOW 20,000",LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8beb440>,MIXED,Kujawsko-pomorskie,NO,1975.0,YES,62,,1984.0,60-64,ONE CAN`T BE TOO CAREFUL,2.0,DIVORCED,24,NO,YES,4.0,2,,20,NONE,economy and administration,VOCATIONAL/GRAMMAR
2026,YES,4,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb468>,MOSTLY DISSATISFIED,Warminsko-mazurskie,NO,2002.0,YES,34,,,25-34,ONE CAN`T BE TOO CAREFUL,2.0,MARRIED,0,NO,YES,,2,,10,PASSIVE,technical science,VOCATIONAL/GRAMMAR
2027,YES,10,"URBAN 500,000 AND OVER",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb490>,PLEASED,Dolnoslaskie,NO,2000.0,NO,32,,,25-34,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,-8,NO,NO,,2,,-8,ACTIVE,social sciences,SECONDARY
2028,NO,30,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8beb4b8>,PLEASED,Malopolskie,NO,2002.0,YES,27,,,25-34,IT`S DIFFICULT TO TELL,9.0,MARRIED,0,NO,YES,,1,,10,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
2029,YES,5,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb4e0>,PLEASED,Pomorskie,NO,1994.0,NO,35,,,35-44,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,NO,,1,,-8,PASSIVE,services for the population and transport services,SECONDARY
2030,YES,6,"URBAN 500,000 AND OVER",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb508>,MOSTLY SATISFIED,Malopolskie,NO,1950.0,NO,86,,1960.0,65+,ONE CAN`T BE TOO CAREFUL,3.0,WIDOWED,-8,NO,YES,4.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2031,YES,2,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb530>,MIXED,Pomorskie,NO,1987.0,NO,46,,,45-59,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,6,NO,YES,,1,,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
2032,YES,0,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb558>,MOSTLY SATISFIED,Dolnoslaskie,NO,1994.0,YES,37,,1996.0,35-44,ONE CAN`T BE TOO CAREFUL,7.0,DIVORCED,0,NO,YES,1.0,1,,20,NONE,"agriculture, forestry, fishing",SECONDARY
2033,YES,4,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb580>,MOSTLY SATISFIED,Pomorskie,NO,1979.0,YES,53,,,45-59,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,0,NO,YES,,2,,15,NONE,technical science,VOCATIONAL/GRAMMAR
2034,YES,2,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb5a8>,MOSTLY DISSATISFIED,Podkarpackie,NO,1959.0,NO,74,,,65+,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,-8,NO,YES,,1,,-8,NONE,architecture and construction,SECONDARY
2035,YES,6,"URBAN 100,000-200,000",EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb5d0>,PLEASED,Swietokrzyskie,NO,2007.0,NO,32,,,25-34,ONE CAN`T BE TOO CAREFUL,5.0,MARRIED,0,NO,YES,,2,,-8,PASSIVE,social sciences,POST-SECONDARY OR HIGHER
2036,YES,10,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb5f8>,MOSTLY SATISFIED,Dolnoslaskie,NO,1969.0,NO,72,,2008.0,65+,ONE CAN`T BE TOO CAREFUL,1.0,DIVORCED,-8,NO,YES,1.0,1,,-8,NONE,social sciences,SECONDARY
2037,YES,2,RURAL AREAS,FARMER,NO OPINION,YES,<sha256 HASH object @ 0x7f6ca8beb620>,PLEASED,Podkarpackie,"YES, TO EU COUNTRY",1996.0,NO,37,GERMANY,,35-44,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,YES,,1,LESS THAN 1 YEAR,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
2038,YES,2,"URBAN 500,000 AND OVER",EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beb648>,PLEASED,Mazowieckie,NO,2005.0,NO,31,,,25-34,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,1,,-8,PASSIVE,economy and administration,POST-SECONDARY OR HIGHER
2039,YES,3,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb670>,TERRIBLE,Slaskie,NO,1968.0,NO,63,,2005.0,60-64,ONE CAN`T BE TOO CAREFUL,6.0,WIDOWED,0,NO,YES,3.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2040,NO OPINION,4,"URBAN 500,000 AND OVER",EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb698>,MOSTLY SATISFIED,Mazowieckie,NO,1980.0,YES,53,,,45-59,IT`S DIFFICULT TO TELL,8.0,MARRIED,0,NO,YES,,2,,30,NONE,technical science,VOCATIONAL/GRAMMAR
2041,YES,2,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,NO,NO,<sha256 HASH object @ 0x7f6ca8beb6c0>,MIXED,Opolskie,NO,1979.0,NO,53,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,24,NO,YES,,1,,-8,NONE,economy and administration,VOCATIONAL/GRAMMAR
2042,YES,5,"URBAN 500,000 AND OVER",RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8beb6e8>,MOSTLY SATISFIED,Lodzkie,NO,1971.0,YES,59,,,45-59,ONE CAN`T BE TOO CAREFUL,9.0,MARRIED,24,NO,NO,,1,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
2043,YES,2,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb710>,MOSTLY SATISFIED,Pomorskie,NO,1977.0,NO,56,,,45-59,ONE CAN`T BE TOO CAREFUL,6.0,MARRIED,0,NO,YES,,2,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
2044,YES,5,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb738>,PLEASED,Lodzkie,NO,1987.0,NO,44,,,35-44,ONE CAN`T BE TOO CAREFUL,7.0,MARRIED,0,NO,YES,,1,,-8,NONE,technical science,SECONDARY
2045,YES,10,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb760>,PLEASED,Lubuskie,NO,1950.0,NO,86,,,65+,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,24,NO,YES,,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2046,YES,4,"URBAN 20,000-100,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb788>,MOSTLY SATISFIED,Slaskie,NO,1985.0,YES,47,,,45-59,IT`S DIFFICULT TO TELL,8.0,MARRIED,17,NO,YES,,2,,20,NONE,other,SECONDARY
2047,NO,15,RURAL AREAS,UNEMPLOYED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb7b0>,PLEASED,Slaskie,NO,2009.0,NO,27,,,25-34,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,8,NO,NO,,1,,-8,ACTIVE,environmental protection,POST-SECONDARY OR HIGHER
2048,YES,3,RURAL AREAS,LONG-TERM SICK/DISABLED,NO,NO,<sha256 HASH object @ 0x7f6ca8beb7d8>,MIXED,Swietokrzyskie,NO,1984.0,YES,57,,,45-59,IT`S DIFFICULT TO TELL,4.0,MARRIED,0,YES,YES,,2,,40,NONE,no specialisation,PRIMARY/NO EDUCATION
2049,YES,6,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb800>,PLEASED,Podlaskie,NO,1947.0,NO,90,,1978.0,65+,IT`S DIFFICULT TO TELL,2.0,WIDOWED,-8,NO,YES,12.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2050,NO,0,"URBAN 100,000-200,000",UNEMPLOYED,NO,NO,<sha256 HASH object @ 0x7f6ca8beb828>,MIXED,Malopolskie,NO,1971.0,YES,64,,,60-64,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
2051,YES,0,"URBAN BELOW 20,000",LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb850>,DELIGHTED,Zachodnio-pomorskie,NO,1970.0,YES,63,,,60-64,ONE CAN`T BE TOO CAREFUL,12.0,MARRIED,-8,NO,YES,,2,,20,NONE,technical science,VOCATIONAL/GRAMMAR
2052,YES,2,"URBAN 20,000-100,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb878>,MOSTLY SATISFIED,Swietokrzyskie,NO,1954.0,NO,83,,1955.0,65+,ONE CAN`T BE TOO CAREFUL,12.0,WIDOWED,24,NO,YES,11.0,1,,-8,NONE,social sciences,SECONDARY
2053,YES,3,"URBAN BELOW 20,000",RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb8a0>,MIXED,Zachodnio-pomorskie,NO,1963.0,NO,67,,2009.0,65+,ONE CAN`T BE TOO CAREFUL,2.0,WIDOWED,0,NO,YES,3.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2054,YES,4,RURAL AREAS,OTHER ECONOMICALLY INACTIVE,NO,NO,<sha256 HASH object @ 0x7f6ca8beb8c8>,MOSTLY SATISFIED,Wielkopolskie,NO,2002.0,NO,31,,,25-34,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,5,NO,YES,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
2055,YES,2,"URBAN 20,000-100,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb8f0>,MOSTLY SATISFIED,Slaskie,NO,1986.0,NO,48,,,45-59,ONE CAN`T BE TOO CAREFUL,1.0,MARRIED,0,NO,NO,,2,,-8,NONE,technical science,SECONDARY
2056,YES,13,"URBAN 100,000-200,000",RETIRED,NO OPINION,NO,<sha256 HASH object @ 0x7f6ca8beb918>,MIXED,Dolnoslaskie,NO,1969.0,NO,65,,,65+,ONE CAN`T BE TOO CAREFUL,11.0,MARRIED,0,NO,YES,,2,,-8,NONE,no specialisation,POST-SECONDARY OR HIGHER
2057,NO,2,"URBAN BELOW 20,000",EMPLOYED IN PUBLIC SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8beb940>,UNHAPPY,Lubuskie,"YES, TO EU COUNTRY",1992.0,NO,38,GERMANY,2003.0,35-44,ONE CAN`T BE TOO CAREFUL,7.0,DIVORCED,19,NO,YES,2.0,1,MORE THAN 2 YEARS,-8,NONE,production and processing,VOCATIONAL/GRAMMAR
2058,NO OPINION,5,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb968>,MOSTLY SATISFIED,Podkarpackie,NO,1959.0,NO,76,,,65+,,2.0,MARRIED,-8,NO,YES,,1,,-8,NONE,services for the population and transport services,VOCATIONAL/GRAMMAR
2059,NO,0,"URBAN 100,000-200,000",EMPLOYED IN PRIVATE SECTOR,NO,NO,<sha256 HASH object @ 0x7f6ca8beb990>,MOSTLY SATISFIED,Slaskie,NO,1984.0,NO,47,,,45-59,MOST PEOPLE CAN BE TRUSTED,2.0,MARRIED,0,NO,YES,,1,,-8,PASSIVE,services for the population and transport services,VOCATIONAL/GRAMMAR
2060,YES,10,RURAL AREAS,SELF-EMPLOYED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb9b8>,MOSTLY SATISFIED,Malopolskie,NO,1995.0,NO,39,,,35-44,ONE CAN`T BE TOO CAREFUL,2.0,MARRIED,0,NO,NO,,2,,-8,NONE,technical science,VOCATIONAL/GRAMMAR
2061,YES,3,RURAL AREAS,RETIRED,YES,NO,<sha256 HASH object @ 0x7f6ca8beb9e0>,PLEASED,Podlaskie,NO,1978.0,YES,64,,1993.0,60-64,MOST PEOPLE CAN BE TRUSTED,10.0,WIDOWED,-8,NO,NO,9.0,1,,10,NONE,production and processing,VOCATIONAL/GRAMMAR
2062,NO,1,RURAL AREAS,RETIRED,NO,NO,<sha256 HASH object @ 0x7f6ca8beba08>,MIXED,Malopolskie,NO,1978.0,YES,58,,2000.0,45-59,IT`S DIFFICULT TO TELL,7.0,DIVORCED,-8,YES,YES,9.0,2,,20,NONE,no specialisation,PRIMARY/NO EDUCATION
2063,YES,11,RURAL AREAS,EMPLOYED IN PUBLIC SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beba30>,MOSTLY SATISFIED,Mazowieckie,NO,2005.0,NO,36,,,35-44,ONE CAN`T BE TOO CAREFUL,10.0,MARRIED,0,NO,YES,,2,,-8,PASSIVE,technical science,POST-SECONDARY OR HIGHER
2064,YES,5,RURAL AREAS,EMPLOYED IN PRIVATE SECTOR,YES,NO,<sha256 HASH object @ 0x7f6ca8beba58>,MOSTLY SATISFIED,Dolnoslaskie,NO,2000.0,NO,38,,,35-44,ONE CAN`T BE TOO CAREFUL,4.0,MARRIED,0,NO,YES,,2,,-8,PASSIVE,services for the population and transport services,SECONDARY
2065,YES,4,RURAL AREAS,LONG-TERM SICK/DISABLED,YES,NO,<sha256 HASH object @ 0x7f6ca8beba80>,MIXED,Slaskie,NO,1955.0,NO,77,,2004.0,65+,ONE CAN`T BE TOO CAREFUL,7.0,WIDOWED,24,NO,YES,11.0,1,,-8,NONE,no specialisation,PRIMARY/NO EDUCATION
2066,YES,5,"URBAN 200,000-500,000",EMPLOYED IN PRIVATE SECTOR,YES,YES,<sha256 HASH object @ 0x7f6ca8bebaa8>,MOSTLY SATISFIED,Opolskie,NO,2010.0,YES,40,,,35-44,ONE CAN`T BE TOO CAREFUL,8.0,MARRIED,-8,NO,YES,,1,,20,PASSIVE,no specialisation,PRIMARY/NO EDUCATION
